,rar,alpha,gamma,epochs,ticker,perf
177,0.1,0.3,0.7,40,DJIA,1.0006568601528374
178,0.1,0.3,0.7,40,QQQ,0.9989668053645576
179,0.1,0.3,0.7,40,SPY,0.9994922898248578
180,0.1,0.3,0.7,40,VGT,1.000404293612127
181,0.1,0.3,0.7,40,XLI,0.9984209698852684
182,0.1,0.3,0.7,60,AAPL,0.9969876978579564
183,0.1,0.3,0.7,60,AMZN,0.9949938248812722
184,0.1,0.3,0.7,60,DJIA,1.0009069198686469
185,0.1,0.3,0.7,60,QQQ,0.9981158429544864
186,0.1,0.3,0.7,60,SPY,1.0007773993529785
187,0.1,0.3,0.7,60,VGT,1.0002521772677364
188,0.1,0.3,0.7,60,XLI,0.9999137734189304
189,0.1,0.3,0.7,80,AAPL,1.002425012436179
190,0.1,0.3,0.7,80,AMZN,0.9969983830101472
191,0.1,0.3,0.7,80,DJIA,1.0011285052171026
192,0.1,0.3,0.7,80,QQQ,1.0010475390336544
193,0.1,0.3,0.7,80,SPY,1.0002392310863333
194,0.1,0.3,0.7,80,VGT,0.9971616441273567
195,0.1,0.3,0.7,80,XLI,0.9993065376480932
196,0.1,0.3,0.8,20,AAPL,0.9976836519229116
197,0.1,0.3,0.8,20,AMZN,0.9957026266535948
198,0.1,0.3,0.8,20,DJIA,1.0000698595133335
199,0.1,0.3,0.8,20,QQQ,1.0012970183638363
200,0.1,0.3,0.8,20,SPY,1.0012039482041724
201,0.1,0.3,0.8,20,VGT,0.999097732220072
202,0.1,0.3,0.8,20,XLI,0.9990424301409352
203,0.1,0.3,0.8,40,AAPL,0.9989452043545038
204,0.1,0.3,0.8,40,AMZN,0.995692695534816
205,0.1,0.3,0.8,40,DJIA,1.0003147589205528
206,0.1,0.3,0.8,40,QQQ,1.0001759443911364
207,0.1,0.3,0.8,40,SPY,1.0001786914870483
208,0.1,0.3,0.8,40,VGT,0.9983571557001741
209,0.1,0.3,0.8,40,XLI,1.0001448464317129
210,0.1,0.3,0.8,60,AAPL,1.0001306860711965
211,0.1,0.3,0.8,60,AMZN,1.0002536254949643
212,0.1,0.3,0.8,60,DJIA,1.0006979245155359
213,0.1,0.3,0.8,60,QQQ,0.9991248325234025
214,0.1,0.3,0.8,60,SPY,1.0008655852186366
215,0.1,0.3,0.8,60,VGT,0.9992462088745594
216,0.1,0.3,0.8,60,XLI,0.999273241123734
217,0.1,0.3,0.8,80,AAPL,1.0019671911414767
218,0.1,0.3,0.8,80,AMZN,0.9954474732942028
219,0.1,0.3,0.8,80,DJIA,1.000420692082889
220,0.1,0.3,0.8,80,QQQ,0.9995395288988324
221,0.1,0.3,0.8,80,SPY,1.0010412439514378
222,0.1,0.3,0.8,80,VGT,1.0014761517392832
223,0.1,0.3,0.8,80,XLI,0.99994590952479
224,0.1,0.3,0.9,20,AAPL,1.0021417790485068
225,0.1,0.3,0.9,20,AMZN,0.9962520212373152
226,0.1,0.3,0.9,20,DJIA,1.0016017311342007
227,0.1,0.3,0.9,20,QQQ,1.0021584693412808
228,0.1,0.3,0.9,20,SPY,1.0000705065151487
229,0.1,0.3,0.9,20,VGT,1.0007039177726842
230,0.1,0.3,0.9,20,XLI,1.0001651163225966
231,0.1,0.3,0.9,40,AAPL,0.9998559951822196
232,0.1,0.3,0.9,40,AMZN,0.9985361785564228
233,0.1,0.3,0.9,40,DJIA,0.9996874804638762
234,0.1,0.3,0.9,40,QQQ,1.0014624211257082
235,0.1,0.3,0.9,40,SPY,1.0012510512962258
236,0.1,0.3,0.9,40,VGT,0.9993327060614372
237,0.1,0.3,0.9,40,XLI,0.99933689569335
238,0.1,0.3,0.9,60,AAPL,1.0038188650464552
239,0.1,0.3,0.9,60,AMZN,0.9957848766886088
240,0.1,0.3,0.9,60,DJIA,1.0003102840880247
241,0.1,0.3,0.9,60,QQQ,0.9999460183682582
242,0.1,0.3,0.9,60,SPY,0.9995030199504008
243,0.1,0.3,0.9,60,VGT,1.00010129160986
244,0.1,0.3,0.9,60,XLI,0.99927911808194
245,0.1,0.3,0.9,80,AAPL,0.9997783858736332
246,0.1,0.3,0.9,80,AMZN,0.9959986503864224
247,0.1,0.3,0.9,80,DJIA,0.9998853952660988
248,0.1,0.3,0.9,80,QQQ,1.0023335382111949
249,0.1,0.3,0.9,80,SPY,1.000251557926861
250,0.1,0.3,0.9,80,VGT,0.9997069918704864
251,0.1,0.3,0.9,80,XLI,0.9988104774560632
252,0.1,0.4,0.7,20,AAPL,1.000080762009762
253,0.1,0.4,0.7,20,AMZN,1.0029770438369767
254,0.1,0.4,0.7,20,DJIA,1.0000436501442835
255,0.1,0.4,0.7,20,QQQ,1.0019294453705707
256,0.1,0.4,0.7,20,SPY,1.0006739693782198
257,0.1,0.4,0.7,20,VGT,1.0018130107130825
258,0.1,0.4,0.7,20,XLI,1.0010775047258982
259,0.1,0.4,0.7,40,AAPL,0.9970751239606236
260,0.1,0.4,0.7,40,AMZN,1.0010113189289669
261,0.1,0.4,0.7,40,DJIA,1.0008566446015528
262,0.1,0.4,0.7,40,QQQ,1.0009136108175507
263,0.1,0.4,0.7,40,SPY,1.0002950006251283
264,0.1,0.4,0.7,40,VGT,1.00010129160986
265,0.1,0.4,0.7,40,XLI,0.9999097868198916
266,0.1,0.4,0.7,60,AAPL,0.9998833500564932
267,0.1,0.4,0.7,60,AMZN,0.9941883856839104
268,0.1,0.4,0.7,60,DJIA,0.9996289039175676
269,0.1,0.4,0.7,60,QQQ,0.9986161812240496
270,0.1,0.4,0.7,60,SPY,1.0010955171975746
271,0.1,0.4,0.7,60,VGT,1.0020971509170795
272,0.1,0.4,0.7,60,XLI,1.0009058189372817
273,0.1,0.4,0.7,80,AAPL,0.9972033275156242
274,0.1,0.4,0.7,80,AMZN,0.9977527660712238
275,0.1,0.4,0.7,80,DJIA,1.0006754721806823
276,0.1,0.4,0.7,80,QQQ,0.999704436416376
277,0.1,0.4,0.7,80,SPY,1.0001798061748686
