,date,time,retweet_count,neg,neu,pos,cmpd,IsTradingDay,is_retweet,numTweets,EMA5,EMA10,EMA20,Output
10136,2017-08-25,12.419444444444444,14378.0,0.188,0.812,0.0,-0.6237,1,False,14,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10137,2017-08-25,11.539722222222224,15734.0,0.08199999999999999,0.615,0.304,0.7988,1,False,14,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10138,2017-08-25,10.738055555555556,15923.0,0.18600000000000003,0.8140000000000001,0.0,-0.6996,1,False,14,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10139,2017-08-25,10.675555555555556,18519.0,0.0,0.6629999999999999,0.337,0.8643,1,False,14,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10140,2017-08-25,10.558888888888891,17757.0,0.0,1.0,0.0,0.0,1,False,14,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10141,2017-08-25,10.418333333333333,5652.0,0.0,0.7959999999999999,0.204,0.6239,1,True,14,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10142,2017-08-25,3.3927777777777783,10257.0,0.0,0.7390000000000001,0.261,0.5574,1,True,14,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10143,2017-08-25,0.3616666666666667,12389.0,0.0,0.462,0.5379999999999999,0.9757,1,False,14,236.19746324115258,235.53804922173737,235.28735126739818,1.0
10144,2017-08-24,22.66638888888889,4894.0,0.0,0.48700000000000004,0.513,0.9685,1,False,14,235.56814486172888,235.1118157154568,235.0590619271243,1.0
10145,2017-08-24,19.516666666666666,15548.0,0.0,1.0,0.0,0.0,1,False,14,235.56814486172888,235.1118157154568,235.0590619271243,1.0
10146,2017-08-24,17.227222222222224,12623.0,0.0,0.691,0.309,0.8172,1,False,14,235.56814486172888,235.1118157154568,235.0590619271243,1.0
10147,2017-08-24,13.711388888888886,25299.0,0.141,0.8590000000000001,0.0,-0.508,1,False,14,235.56814486172888,235.1118157154568,235.0590619271243,1.0
10148,2017-08-24,13.256111111111109,22501.0,0.111,0.7190000000000001,0.17,0.2023,1,False,14,235.56814486172888,235.1118157154568,235.0590619271243,1.0
10149,2017-08-24,13.25,10967.0,0.21,0.6990000000000001,0.091,-0.5255,1,False,14,235.56814486172888,235.1118157154568,235.0590619271243,1.0
10150,2017-08-24,13.172222222222222,1027.0,0.111,0.7190000000000001,0.17,0.2023,1,False,14,235.56814486172888,235.1118157154568,235.0590619271243,1.0
10151,2017-08-24,13.130277777777776,1014.0,0.21,0.6990000000000001,0.091,-0.5255,1,False,14,235.56814486172888,235.1118157154568,235.0590619271243,1.0
10152,2017-08-24,13.126111111111115,14865.0,0.18100000000000002,0.741,0.078,-0.4215,1,False,14,235.56814486172888,235.1118157154568,235.0590619271243,1.0
10153,2017-08-24,12.850833333333336,1815.0,0.217,0.6890000000000001,0.094,-0.5255,1,False,14,235.56814486172888,235.1118157154568,235.0590619271243,1.0
10154,2017-08-24,12.687222222222225,2763.0,0.18100000000000002,0.741,0.078,-0.4215,1,False,14,235.56814486172888,235.1118157154568,235.0590619271243,1.0
10155,2017-08-24,12.4175,13570.0,0.17600000000000002,0.726,0.098,-0.3549,1,False,14,235.56814486172888,235.1118157154568,235.0590619271243,1.0
10156,2017-08-24,12.329166666666667,18169.0,0.08800000000000001,0.601,0.311,0.743,1,False,14,235.56814486172888,235.1118157154568,235.0590619271243,1.0
10157,2017-08-24,0.8808333333333334,12692.0,0.0,0.573,0.42700000000000005,0.9344,1,False,14,235.56814486172888,235.1118157154568,235.0590619271243,1.0
10158,2017-08-23,22.68861111111111,11164.0,0.0,0.5379999999999999,0.462,0.8834,1,False,10,234.7918672925933,234.66539698555832,234.8420473931374,1.0
